,product_uid,material
45374,101831.0,Steel
45388,101832.0,Plastic
45433,101834.0,Sand
45579,101840.0,High Density Fiberboard (HDF)
45614,101842.0,Wood
45706,101846.0,Metal
45721,101847.0,Solid Brass
45760,101849.0,Metal
45871,101852.0,Other
45889,101853.0,Brass
45936,101855.0,Metal
46051,101859.0,Concrete
46108,101862.0,Polyethylene
46264,101868.0,Wood
46327,101871.0,Fiberglass
46347,101872.0,Plastic
46380,101874.0,Iron
46428,101877.0,Plastic
46541,101881.0,Aluminum
46562,101882.0,Aluminum
46709,101889.0,Steel
46776,101893.0,Solid Surface
46803,101894.0,Plastic
46829,101896.0,Plastic
46846,101897.0,Metal
46864,101898.0,Medium Density Fiberboard (MDF)
47036,101907.0,Resin
47106,101909.0,Fiberglass
47125,101910.0,PVC
47189,101913.0,Plastic
47247,101916.0,Composite
47275,101917.0,Stainless steel
47429,101923.0,Aluminum
47613,101931.0,Glass
47673,101933.0,Composite
47716,101935.0,Plastic
47751,101937.0,Stone
47785,101939.0,Plastic
47799,101940.0,Steel
47822,101941.0,Galvanized Steel
47823,101941.0,Steel
47955,101946.0,Metal
48061,101952.0,Plastic
48118,101954.0,Metal
48168,101956.0,Vitreous China
48215,101958.0,Wood
48385,101965.0,Steel
48410,101966.0,Wood
48425,101967.0,Steel
48489,101969.0,Steel
48509,101970.0,Zinc
48568,101973.0,Nylon
48611,101975.0,Rubber
48713,101980.0,Wood
48748,101981.0,Wood
48807,101984.0,Pet Polyester
49087,101994.0,Vinyl
49131,101996.0,Steel
49179,101998.0,Steel
49220,102000.0,Vitreous China
49413,102007.0,Plastic
49444,102009.0,Brass
49467,102010.0,Concrete
49489,102011.0,Wood
49533,102012.0,Other
49593,102015.0,Stainless Steel
49641,102017.0,Ceramic
49662,102018.0,Steel
49682,102019.0,Vinyl
49698,102020.0,Other
49772,102023.0,Plastic
49829,102026.0,Wood
49851,102027.0,Plastic
49870,102028.0,PVC
49895,102029.0,Vinyl
49964,102033.0,Manufactured from laminated particle board
50081,102037.0,Acrylic
50149,102039.0,Vitreous China
50168,102040.0,Steel
50277,102044.0,Plastic
50324,102046.0,Metal
50379,102048.0,Laminated Particle Board
50551,102053.0,Plastic
50570,102054.0,Wood
50636,102057.0,Metal
50666,102058.0,Stainless Steel
50750,102061.0,Aluminum
50842,102065.0,Steel
51010,102071.0,Particle Board
51164,102076.0,Galvanized Steel
51186,102077.0,Bamboo
51325,102085.0,Steel
51421,102089.0,Laminate
51480,102091.0,Bamboo
51549,102094.0,Metal
51636,102098.0,Plastic
51653,102099.0,Aluminum
51671,102100.0,Plastic
51800,102105.0,Cross-Linked Polyethylene (PEX)
51835,102106.0,Steel
51878,102108.0,Manufactured from certified Environmentally Preferred laminated particle panel.
52005,102113.0,Aluminum
52092,102116.0,Iron
52126,102117.0,"MDF,PB, Engineered Wood"
52172,102119.0,Aluminum
52195,102120.0,Composite
52238,102121.0,Metal
52260,102122.0,Paper
52291,102123.0,Steel
52390,102127.0,Vitreous China
52534,102134.0,Fiberglass
52648,102138.0,Vinyl
52671,102139.0,Metal
52716,102141.0,Aluminum
52745,102142.0,Stainless Steel
52772,102144.0,Polyethylene
52795,102145.0,Brass
52831,102147.0,Vinyl
52871,102149.0,Other
52958,102153.0,Steel
53302,102166.0,Composite
53321,102167.0,Aluminum
53340,102168.0,Steel
53382,102169.0,Metal
53423,102171.0,Steel
53546,102175.0,Particle Board
53571,102176.0,Concrete
53612,102178.0,Bamboo
53632,102179.0,Steel
53687,102181.0,LAMINATED PARTICLE BOARD
53714,102182.0,Plastic
53826,102187.0,Composite
53852,102188.0,Vinyl
53951,102191.0,Vitreous China
54106,102196.0,Wood
54259,102203.0,Sand
54280,102204.0,Plastic
54323,102206.0,Other
54347,102207.0,Steel
54562,102216.0,Nylon
54695,102220.0,Metal
54759,102224.0,Medium Density Fiberboard (MDF)
54901,102230.0,Wood
54959,102232.0,Vinyl
55104,102237.0,Wood
55147,102239.0,Galvanized Steel
55214,102241.0,Vinyl
55268,102243.0,Solid Brass
55322,102245.0,Aluminum
55453,102249.0,Other
55571,102254.0,Wood
55585,102255.0,Wood
55643,102258.0,Concrete
55753,102262.0,Galvanized Steel
55809,102264.0,Wood
55832,102265.0,Vitreous China
55877,102267.0,Vinyl
56020,102272.0,Polyester
56049,102273.0,Paper
56126,102276.0,Plastic
56201,102279.0,Vinyl
56306,102282.0,Other
56417,102287.0,High Density Fiberboard (HDF)
56660,102296.0,Polyurethane
56676,102297.0,Polyurethane
56742,102300.0,Steel
56765,102301.0,Aluminum
56787,102302.0,PVC
56847,102304.0,Vinyl
56872,102305.0,Metal
56963,102309.0,Steel
56975,102310.0,Foam
56998,102311.0,Wood
57020,102312.0,Laminated Particle Board
57135,102317.0,Vitreous China
57176,102318.0,Fiberglass
57272,102323.0,Steel
57303,102324.0,Vitreous China
57345,102326.0,Wrought Iron
57435,102330.0,Polyurethane
57495,102332.0,Metal
57604,102336.0,Wood
57787,102342.0,Steel
57853,102344.0,Steel
57886,102346.0,Wood
57971,102350.0,Steel
58068,102354.0,Aluminum
58205,102359.0,Steel
58225,102360.0,Wood
58241,102361.0,Brass
58259,102362.0,Polypropylene
58275,102363.0,Polycarbonate
58312,102365.0,Steel
58342,102366.0,Vinyl
58386,102367.0,Fiberglass
58411,102369.0,Brass
58431,102370.0,Steel
58530,102374.0,Medium Density Fiberboard (MDF)
58558,102375.0,Zinc
58580,102376.0,Aluminum
58617,102378.0,Steel
58637,102379.0,Nylon
58681,102381.0,Vitreous China
58844,102389.0,Vinyl
59017,102395.0,Steel
59045,102396.0,Wood
59046,102396.0,Laminated Particle Board
59068,102397.0,Bamboo
59081,102398.0,Glass
59136,102401.0,Zinc
59156,102402.0,Metal
59225,102404.0,Concrete
59310,102406.0,Galvanized Steel
59456,102411.0,Vitreous China
59481,102412.0,Laminate
59509,102414.0,Composite
59510,102414.0,Other
59511,102414.0,Plastic
59535,102415.0,Wood
59600,102417.0,Stainless Steel
59628,102418.0,Plastic
59870,102429.0,Steel
59888,102430.0,Galvanized Steel
59943,102432.0,Metal
59992,102435.0,Polypropylene
60009,102436.0,Steel
60066,102438.0,Vitreous China
60174,102441.0,Fiberglass
60244,102445.0,Galvanized Steel
60263,102446.0,Zinc
60344,102450.0,Concrete
60368,102451.0,Metal
60521,102457.0,Metal
60549,102458.0,Composite
60663,102463.0,Steel
60684,102464.0,Resin
60698,102465.0,Plastic
60718,102466.0,Steel
60732,102467.0,Metal
60816,102470.0,Zinc
60835,102471.0,Vinyl
60977,102476.0,Metal
61041,102478.0,Steel
61069,102480.0,Vitreous China
61086,102481.0,Zinc
61105,102482.0,Fabric
61313,102488.0,Stainless Steel
61331,102489.0,Paper
61445,102494.0,Wood
61607,102501.0,Plastic
61642,102503.0,Porcelain-Coated Steel
61782,102508.0,fabric
61783,102508.0,Fabric
61824,102510.0,Vitreous China
61853,102511.0,Vinyl
61965,102516.0,Concrete
62029,102520.0,Steel
62157,102526.0,Steel
62285,102531.0,Steel
62361,102534.0,Steel
62398,102535.0,Composite
62494,102539.0,Plastic
62516,102540.0,Laminate
62700,102547.0,Laminate
62718,102548.0,Asphalt
62873,102555.0,Steel
62918,102556.0,Fiberglass
62970,102559.0,Polycarbonate
62991,102560.0,Other
63014,102561.0,Vinyl
63145,102564.0,Steel
63196,102566.0,Metal
63224,102567.0,Composite
63278,102570.0,Steel
63360,102575.0,Plastic
63409,102577.0,Wood
63481,102580.0,Vinyl
63500,102581.0,Vinyl
63525,102582.0,Steel
63544,102583.0,Steel
63661,102589.0,Rubber
63742,102593.0,Bamboo
64027,102602.0,Concrete
64097,102605.0,Acrylic
64130,102606.0,Vitreous China
64148,102607.0,Silver
64189,102609.0,Steel
64203,102610.0,Plastic
64233,102611.0,Aluminum
64286,102613.0,Vinyl
64346,102615.0,Stainless Steel
64375,102616.0,Wood
64386,102617.0,Fabric
64437,102619.0,Aluminum
64459,102620.0,Resin
64485,102621.0,Vinyl
64583,102624.0,Fiberglass
64605,102625.0,Wood
64711,102628.0,Composite
64817,102632.0,Iron
64835,102633.0,Plastic
64913,102636.0,Steel
64944,102637.0,Metal
65019,102640.0,Aluminum
65055,102641.0,Steel
65084,102642.0,Plastic
65162,102645.0,Acrylic
65194,102648.0,Steel
65297,102651.0,Metal
65338,102653.0,Wood
65410,102656.0,Vinyl
65434,102657.0,Other
65451,102658.0,Plastic
65615,102666.0,Steel
65699,102669.0,Stainless Steel
65742,102671.0,Aluminum
65785,102673.0,Plastic
65810,102674.0,Vinyl
65872,102678.0,Resin
65897,102679.0,Vinyl
65945,102681.0,Steel
65968,102682.0,Particle Board
